69.171.242.113 - - [27/Jan/2013:05:34:16 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 103036
66.220.152.5 - - [27/Jan/2013:05:34:45 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 107595
66.220.152.0 - - [27/Jan/2013:05:34:48 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 106002
65.52.0.16 - - [27/Jan/2013:06:00:55 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1725 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 21844
81.98.196.162 - - [27/Jan/2013:08:21:55 -0700] "GET porshhair.com/index.html HTTP/1.1" 200 2137 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 28810
81.98.196.162 - - [27/Jan/2013:08:21:56 -0700] "GET porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://porshhair.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 22336
81.98.196.162 - - [27/Jan/2013:08:21:56 -0700] "GET porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32695 "http://porshhair.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 2 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 12701
81.98.196.162 - - [27/Jan/2013:08:21:56 -0700] "GET porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://porshhair.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 21587
81.98.196.162 - - [27/Jan/2013:08:21:56 -0700] "GET porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://porshhair.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 3 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 793880
81.98.196.162 - - [27/Jan/2013:08:21:56 -0700] "GET porshhair.com/images/background.png HTTP/1.1" 200 744012 "http://porshhair.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 1 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 881112
81.98.196.162 - - [27/Jan/2013:08:22:00 -0700] "GET porshhair.com/apple-touch-icon-57x57-precomposed.png HTTP/1.1" 404 619 "-" "MobileSafari/8536.25 CFNetwork/609 Darwin/13.0.0" 0 "-" "/var/chroot/home/content/61/10251861/html/missing.html" 7229
