173.252.101.115 - - [27/Jan/2013:02:12:12 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 191890
74.120.16.26 - - [27/Jan/2013:03:34:04 -0700] "GET porshhair.com/index.html HTTP/1.1" 200 4748 "-" "Mozilla/5.0 (Windows; U; MSIE 8.0; WIndows NT 9.0; en-US))" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 77011
173.252.101.114 - - [27/Jan/2013:05:25:17 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "-" "facebookplatform/1.0 (+http://developers.facebook.com)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 105011
81.98.196.162 - - [27/Jan/2013:05:28:27 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 45935
81.98.196.162 - - [27/Jan/2013:05:28:27 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 304 174 "http://www.porshhair.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 17751
81.98.196.162 - - [27/Jan/2013:05:28:27 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 304 172 "http://www.porshhair.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 27683
81.98.196.162 - - [27/Jan/2013:05:28:27 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 304 174 "http://www.porshhair.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 11152
81.98.196.162 - - [27/Jan/2013:05:28:27 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 304 174 "http://www.porshhair.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 7126
81.98.196.162 - - [27/Jan/2013:05:28:27 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 304 174 "http://www.porshhair.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 2 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 7457
81.98.196.162 - - [27/Jan/2013:05:29:55 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1725 "http://www.porshhair.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 13005
81.98.196.162 - - [27/Jan/2013:05:30:12 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/About/About.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 63539
81.98.196.162 - - [27/Jan/2013:05:30:18 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/Services/Services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 5253
81.98.196.162 - - [27/Jan/2013:05:30:20 -0700] "GET www.porshhair.com/Prices/Prices.html HTTP/1.1" 200 1430 "http://www.porshhair.com/Services/Services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "default-handler" "/var/chroot/home/content/61/10251861/html/Prices/Prices.html" 28004
81.98.196.162 - - [27/Jan/2013:05:30:20 -0700] "GET www.porshhair.com/images/image5.jpg HTTP/1.1" 304 173 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 2 "-" "/var/chroot/home/content/61/10251861/html/images/image5.jpg" 15843
81.98.196.162 - - [27/Jan/2013:05:30:20 -0700] "GET www.porshhair.com/images/image2.jpg HTTP/1.1" 304 174 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/image2.jpg" 17495
81.98.196.162 - - [27/Jan/2013:05:30:44 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 9520
81.98.196.162 - - [27/Jan/2013:05:30:47 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1724 "http://www.porshhair.com/Services/Services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 6512
81.98.196.162 - - [27/Jan/2013:05:30:50 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2102 "http://www.porshhair.com/About/About.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 2 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 9930
173.252.100.113 - - [27/Jan/2013:05:31:15 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 104806
86.18.38.127 - - [27/Jan/2013:05:31:25 -0700] "GET www.porshhair.com/About/About.html?fb_action_ids=504478272935776%2C504478242935779%2C504478209602449&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%7B%22504478272935776%22%3A525136754175706%2C%22504478242935779%22%3A522368907802846%2C%22504478209602449%22%3A333818400056707%7D&action_type_map=%7B%22504478272935776%22%3A%22og.likes%22%2C%22504478242935779%22%3A%22og.likes%22%2C%22504478209602449%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D HTTP/1.1" 200 1725 "http://www.facebook.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 6072
86.18.38.127 - - [27/Jan/2013:05:31:25 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/About/About.html?fb_action_ids=504478272935776%2C504478242935779%2C504478209602449&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%7B%22504478272935776%22%3A525136754175706%2C%22504478242935779%22%3A522368907802846%2C%22504478209602449%22%3A333818400056707%7D&action_type_map=%7B%22504478272935776%22%3A%22og.likes%22%2C%22504478242935779%22%3A%22og.likes%22%2C%22504478209602449%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 6904
86.18.38.127 - - [27/Jan/2013:05:31:25 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "http://www.porshhair.com/About/About.html?fb_action_ids=504478272935776%2C504478242935779%2C504478209602449&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%7B%22504478272935776%22%3A525136754175706%2C%22504478242935779%22%3A522368907802846%2C%22504478209602449%22%3A333818400056707%7D&action_type_map=%7B%22504478272935776%22%3A%22og.likes%22%2C%22504478242935779%22%3A%22og.likes%22%2C%22504478209602449%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 4590
86.18.38.127 - - [27/Jan/2013:05:31:25 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://www.porshhair.com/About/About.html?fb_action_ids=504478272935776%2C504478242935779%2C504478209602449&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%7B%22504478272935776%22%3A525136754175706%2C%22504478242935779%22%3A522368907802846%2C%22504478209602449%22%3A333818400056707%7D&action_type_map=%7B%22504478272935776%22%3A%22og.likes%22%2C%22504478242935779%22%3A%22og.likes%22%2C%22504478209602449%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 726242
86.18.38.127 - - [27/Jan/2013:05:31:25 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 200 744012 "http://www.porshhair.com/About/About.html?fb_action_ids=504478272935776%2C504478242935779%2C504478209602449&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%7B%22504478272935776%22%3A525136754175706%2C%22504478242935779%22%3A522368907802846%2C%22504478209602449%22%3A333818400056707%7D&action_type_map=%7B%22504478272935776%22%3A%22og.likes%22%2C%22504478242935779%22%3A%22og.likes%22%2C%22504478209602449%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 2 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 742172
69.171.224.117 - - [27/Jan/2013:05:31:55 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 32745 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 149260
